time [h]	Qdot1 [W]
605	38935.1
606	29231.7
607	23993.2
608	16401.7
609	8726.6
610	6076.2
611	5304.6
612	6674.5
613	6216.9
614	4034.2
615	3902.7
616	4806.1
617	8363.3
618	9121.4
619	10602.2
620	11057.7
621	10732.7
622	10348.8
623	9324.9
624	9490.5
625	9963.0
626	11941.3
627	12500.8
628	12440.7
629	12026.2
630	11605.5
631	11147.5
632	10821.9
633	9088.4
634	7207.2
635	7417.0
636	7413.2
637	7609.8
638	8609.3
639	9260.9
640	9745.6
641	10119.9
642	10397.7
643	10731.8
644	10793.5
645	10700.3
646	10794.8
647	11073.5
648	11250.7
649	11253.9
650	11175.7
651	11155.5
652	11014.2
653	10951.5
654	10921.4
655	10831.1
656	11415.3
657	11110.2
658	10606.0
659	9950.8
660	8576.3
661	7423.5
662	5516.3
663	4957.7
664	4551.3
665	7238.6
666	8557.7
667	9118.5
668	9266.7
669	9478.6
670	9644.9
671	9553.3
672	9566.3
673	9616.7
674	9603.5
675	9540.4
676	14164.3
677	97655.9
678	70664.1
679	56009.8
680	44412.0
681	29208.1
682	22257.6
683	19423.3
684	23160.1
685	19527.1
686	13831.8
687	12984.8
688	14418.5
689	21682.5
690	23882.8
691	21983.5
692	20546.0
693	18816.4
694	17080.3
695	15556.2
696	14330.4
697	13304.6
698	12360.0
699	11627.7
700	12137.6
701	43235.2
702	34371.7
703	31412.9
704	26001.4
705	16736.7
706	15714.1
707	17452.4
708	25146.9
709	24919.4
710	21607.1
711	22354.5
712	23813.9
713	35494.7
714	37451.9
715	29225.1
716	25937.7
717	23463.3
718	21537.6
719	19841.6
720	18295.9
721	16880.7
722	15634.3
723	14584.0
724	16318.1
725	60052.7
726	45168.6
727	38744.8
728	36540.2
729	26843.0
730	22800.0
731	22979.0
732	31774.3
733	29404.9
734	23229.1
735	21316.9
736	21580.3
737	31373.5
738	33020.7
739	26574.5
740	23910.2
741	21689.5
742	19891.8
743	18428.8
744	17083.9
745	16016.5
746	15182.4
747	14508.3
748	16210.7
749	58015.2
750	43998.3
751	39080.9
752	38672.9
753	25284.5
754	19423.8
755	20287.2
756	26655.7
757	25952.5
758	20418.5
759	16732.5
760	16459.0
761	27490.7
762	30964.0
763	25254.5
764	23226.0
765	21382.9
766	20016.2
767	18754.2
768	17627.3
769	16771.3
770	15845.5
771	14944.7
772	16440.9
773	55443.0
774	42279.9
775	37666.4
776	38028.2
777	27426.9
778	22731.1
779	21248.6
780	27119.8
781	26078.5
782	21677.1
783	21497.3
784	23067.8
785	32441.5
786	33123.4
787	26409.3
788	23311.6
789	20754.0
790	18944.7
791	17385.5
792	16162.8
793	15105.3
794	14377.1
795	13621.4
796	13031.0
797	12588.8
798	12239.1
799	12029.4
800	11772.0
801	10621.6
802	9046.1
803	8730.6
804	8922.5
805	8976.7
806	8018.0
807	7399.3
808	9382.6
809	11344.6
810	12302.8
811	12783.8
812	12823.6
813	13044.1
814	13011.2
815	13311.3
816	13462.2
817	13236.7
818	13135.8
819	13013.7
820	13003.7
821	13147.9
822	13157.7
823	13056.4
824	12019.9
825	8574.7
826	8144.8
827	9510.7
828	9740.4
829	8610.4
830	8136.7
831	9399.3
832	10812.8
833	12194.3
834	12788.1
835	13106.6
836	13413.3
837	13596.7
838	13702.0
839	14083.6
840	14330.7
841	14520.0
842	14658.4
843	14791.5
844	26068.9
845	147012.0
846	104716.0
847	84242.5
848	76421.5
849	52974.1
850	43021.2
851	36605.7
852	40986.1
853	38662.3
854	32608.9
855	30349.4
856	32458.5
857	47313.0
858	53817.1
859	42766.8
860	37463.0
861	33384.3
862	30257.6
863	27906.0
864	25967.1
865	24413.5
866	23129.8
867	21863.0
868	25667.2
869	84502.7
870	64153.7
871	57143.0
