time [h]	EFH1 [W]
1235	4334.57
1236	4157.00
1237	4066.65
1238	4004.19
1239	4106.93
1240	4222.54
1241	4332.05
1242	4188.93
1243	3951.09
1244	4559.05
1245	4067.44
1246	4327.34
1247	269.76
1248	287.65
1249	303.50
1250	315.32
1251	320.18
1252	323.97
1253	7471.99
1254	7467.12
1255	6382.25
1256	5142.58
1257	4140.06
1258	3439.13
1259	3379.71
1260	3176.79
1261	3700.98
1262	4224.63
1263	4310.29
1264	4682.08
1265	4880.54
1266	4661.15
1267	4729.75
1268	5312.08
1269	4671.54
1270	4883.80
1271	317.23
1272	331.36
1273	345.90
1274	368.90
1275	381.37
1276	378.06
1277	7495.45
1278	7586.38
1279	7046.23
1280	5939.18
1281	4629.01
1282	4004.59
1283	3696.44
1284	3693.01
1285	3889.86
1286	3687.23
1287	3804.93
1288	4439.41
1289	5000.16
1290	5117.54
1291	5141.80
1292	5796.06
1293	5553.70
1294	5795.42
1295	395.03
1296	433.36
1297	485.80
1298	706.50
1299	952.59
1300	1234.74
1301	7628.54
1302	7693.93
1303	7480.65
1304	7565.53
1305	7380.23
1306	6457.41
1307	5493.66
1308	4685.69
1309	3974.12
1310	3473.61
1311	3634.48
1312	4780.70
1313	5779.33
1314	6111.26
1315	6089.06
1316	6703.22
1317	6390.47
1318	6655.84
1319	466.42
1320	512.40
1321	800.20
1322	1174.68
1323	1459.14
1324	1836.38
1325	7676.53
1326	7693.93
1327	7547.94
1328	7592.63
1329	7533.04
1330	7139.61
1331	6329.58
1332	5865.64
1333	5400.54
1334	4689.48
1335	4395.04
1336	4906.21
1337	5616.61
1338	5899.40
1339	6367.92
1340	7279.72
1341	7296.03
1342	7377.34
1343	448.15
1344	392.62
1345	344.59
1346	328.29
1347	327.97
1348	350.58
1349	7461.63
1350	7525.25
1351	6661.84
1352	6055.60
1353	4880.95
1354	3686.16
1355	2975.20
1356	2746.61
1357	3224.74
1358	3663.35
1359	3608.37
1360	4147.76
1361	4669.07
1362	4688.54
1363	4422.55
1364	4958.10
1365	4436.50
1366	4595.62
1367	284.36
1368	301.27
1369	336.03
1370	342.34
1371	337.00
1372	341.19
1373	7463.97
1374	7458.86
1375	6506.85
1376	5044.76
1377	3670.85
1378	3252.81
1379	2883.42
1380	2858.67
1381	2839.10
1382	3113.22
1383	3491.55
1384	3561.62
1385	4136.91
1386	4399.15
1387	4487.80
1388	5123.13
1389	4609.11
1390	4924.26
1391	334.98
1392	356.75
1393	370.66
1394	378.83
1395	377.42
1396	379.86
1397	7495.32
1398	7469.93
1399	6608.70
1400	6025.36
1401	5464.10
1402	4996.72
1403	4515.91
1404	4166.81
1405	4044.77
1406	3870.99
1407	3901.26
1408	4015.24
1409	4055.38
1410	3890.68
1411	3635.92
1412	4140.74
1413	3610.49
1414	3844.97
1415	227.81
1416	251.96
1417	261.46
1418	267.37
1419	275.25
1420	284.39
1421	7098.98
1422	6203.02
1423	5042.11
1424	4683.33
1425	4250.80
1426	3933.36
1427	3699.95
1428	3485.66
1429	3376.85
1430	3496.42
1431	3299.97
1432	3407.96
1433	3667.65
1434	3476.51
1435	3296.61
1436	4025.73
1437	3389.96
