time [h]	MFH4.0 [W]
660	36745.12
661	35683.65
662	36984.89
663	37268.88
664	36784.80
665	35597.35
666	34098.31
667	32163.37
668	35079.45
669	29995.89
670	31279.29
671	2596.54
672	2681.11
673	2729.09
674	2706.55
675	2699.85
676	2780.28
677	44252.35
678	41778.81
679	36394.48
680	36643.27
681	35319.24
682	33627.50
683	30639.63
684	28918.66
685	27576.15
686	25846.99
687	23382.09
688	22966.95
689	21657.06
690	18162.77
691	16153.14
692	21334.77
693	15764.08
694	17007.35
695	1288.35
696	1389.20
697	1681.31
698	1819.44
699	1962.25
700	2073.35
701	38285.53
702	32564.56
703	26649.08
704	23938.57
705	18839.95
706	15086.77
707	14216.51
708	12963.92
709	12938.63
710	13478.06
711	14218.25
712	17303.05
713	18799.26
714	17071.94
715	15532.32
716	20642.96
717	13888.79
718	12655.13
719	996.25
720	1091.21
721	1105.82
722	1155.85
723	1204.96
724	1235.92
725	26357.15
726	22360.92
727	16359.72
728	15016.88
729	14827.03
730	12195.41
731	10600.04
732	11532.49
733	11450.25
734	11777.79
735	12638.36
736	14509.02
737	14488.24
738	11775.92
739	14408.57
740	24570.39
741	22786.46
742	25325.90
743	2364.08
744	2198.41
745	2088.37
746	2325.00
747	2462.53
748	2523.98
749	42540.71
750	38084.56
751	32215.67
752	28888.99
753	23659.84
754	21881.17
755	18945.77
756	18034.46
757	17704.83
758	16399.31
759	18214.92
760	21073.94
761	22242.02
762	21450.32
763	20014.78
764	25580.21
765	21687.36
766	24092.65
767	2218.70
768	2235.23
769	2267.15
770	2307.85
771	2418.07
772	2494.07
773	42117.02
774	36196.56
775	29256.91
776	29244.48
777	27126.44
778	24555.99
779	20600.41
780	18493.29
781	18284.65
782	19977.73
783	21105.87
784	23176.95
785	23621.94
786	21405.56
787	19062.47
788	24070.15
789	18769.28
790	19958.21
791	1849.90
792	2003.42
793	2093.33
794	2123.66
795	2100.01
796	2206.70
797	40273.87
798	35154.33
799	29481.26
800	26100.22
801	20585.58
802	18917.59
803	19160.95
804	16664.70
805	13388.98
806	12027.47
807	13362.38
808	19407.48
809	20063.03
810	20020.90
811	17535.39
812	22182.18
813	17095.36
814	18309.53
815	1733.39
816	1970.99
817	2085.77
818	2096.14
819	2133.30
820	2193.11
821	40163.83
822	35489.14
823	31674.89
824	30921.14
825	27582.37
826	22902.40
827	19767.13
828	18962.93
829	16337.79
830	15358.04
831	14440.32
832	18228.24
833	20948.68
834	21565.94
835	21066.06
836	26789.41
837	22633.91
838	25550.34
839	2530.46
840	2737.25
841	2862.84
842	2976.06
843	3072.36
844	3217.33
845	45943.23
846	45388.41
847	40733.74
848	34848.76
849	27962.95
850	25421.79
851	23846.21
852	20674.67
853	18549.35
854	16642.66
855	16582.66
856	22269.75
857	26930.46
858	27532.20
859	26063.51
860	31374.47
861	27582.54
862	29846.30
863	2933.16
864	3159.05
865	3262.10
866	3222.04
867	3310.52
868	3430.80
869	46302.63
870	46379.27
871	43596.09
872	37569.39
873	29013.94
874	27302.31
875	25599.68
876	22291.39
877	19195.76
878	15642.99
879	16047.91
880	23033.11
881	27155.53
882	27286.33
883	26396.08
884	30791.05
885	27999.41
886	30752.55
887	2898.49
888	3041.25
889	3150.06
890	3220.47
891	3406.31
892	3689.20
893	46960.27
894	47061.13
895	44826.04
896	38799.42
897	30250.28
898	26958.26
899	25173.75
900	24413.26
901	20881.25
902	16105.37
903	15868.24
904	20515.59
905	24892.33
906	25524.46
907	25266.45
908	31638.06
909	29290.89
910	32436.09
911	3122.88
912	3320.60
913	3370.33
914	3324.72
915	3446.98
916	3547.66
917	46438.87
918	45618.30
919	41498.66
920	38643.06
921	34557.50
922	32756.21
923	30516.08
924	28880.05
925	27176.91
926	24931.78
927	26337.40
928	32289.72
929	34862.59
930	33300.30
931	30668.60
932	34853.66
933	31756.99
934	33876.75
935	3129.02
936	3297.19
937	3326.72
938	3400.07
939	3521.71
940	3581.36
941	46656.27
942	46707.31
943	43567.37
944	43042.12
945	41634.88
946	39417.32
947	37650.04
948	33952.91
949	31482.93
950	30752.28
951	31638.51
952	32884.20
953	31889.26
954	28677.10
955	26172.61
956	30825.82
957	26381.29
958	28254.79
959	2410.07
960	2536.07
961	2640.19
962	2675.16
963	2631.26
964	2568.77
965	43745.31
966	41527.20
967	35930.31
968	33804.13
969	29766.79
970	28160.67
971	26475.00
972	24371.75
973	22404.86
974	22134.40
975	22663.75
976	24762.29
977	24740.30
978	24043.35
979	21283.36
980	26527.98
981	18892.21
982	17452.23
983	1514.00
984	1638.96
985	1694.30
986	1722.75
987	1800.62
988	1916.24
989	36747.05
990	31179.44
991	26735.90
992	25927.27
993	22517.35
994	20177.98
995	18712.79
996	17807.91
997	18830.40
998	20252.13
999	19851.40
1000	20223.94
1001	19537.88
1002	18365.40
1003	16866.06
1004	22018.76
1005	16346.12
1006	17927.24
1007	1709.08
1008	1847.39
1009	1812.25
1010	1796.08
1011	1807.89
1012	1827.02
1013	35501.62
1014	29104.16
1015	22382.61
1016	21617.02
1017	19599.87
1018	17274.13
1019	15723.84
1020	13798.67
1021	12477.70
1022	12500.86
1023	12211.71
1024	13652.23
1025	16047.13
1026	18105.49
1027	17962.37
1028	23652.40
1029	19243.55
1030	20111.59
1031	1734.21
1032	1697.57
